id,ean,name,legal_name,unit_price,is_discounted,previous_price,origin,supplier,weight,category,age_check,alcohol_by_volume,is_new,is_pack,pack_size
17147,8480000171474,Burrito seasoning mix Hacendado,Sazonador para Burritos,1.3,False,,España,"JESÚS NAVARRO, S.A.",0.04,"Oils, spices & sauces",False,,False,False,
86808,8480000868084,Chicken and meat seasoning mix Hacendado,Sazonador Pollo/Carne,1.5,False,,España,"JESÚS NAVARRO, S.A.",0.076,"Oils, spices & sauces",False,,False,False,
60640,8402001019548,Pasta seasoning Hacendado,Sazonador Pasta,1.6,False,,,"JESÚS NAVARRO, S.A.",0.045,"Oils, spices & sauces",False,,False,False,
52635,8402001016523,"Cheese and bacon flavor seasoning for potatoes, snacks, meats and sauces Hacendado",Sazonador sabor Cheese Bacon,0.85,False,,España,"JESÚS NAVARRO, S.A.",0.009,"Oils, spices & sauces",False,,False,True,0.0045
13406,8480000134066,Mayonnaise Hacendado,Mayonesa,1.2,False,        1.25,España,Compre y Compare S.A.,0.5,"Oils, spices & sauces",False,,False,False,
52728,8402001014680,Mayonnaise Hacendado,Mayonesa,0.95,False,,España,Salsa Rica S.L.,0.24,"Oils, spices & sauces",False,,False,False,
13407,8480000134073,Mayonnaise Hacendado,Mayonesa,1.25,False,        1.35,España,Compre y Compare S.A.,0.46,"Oils, spices & sauces",False,,False,False,
23816,8480000238160,Mayonnaise in individual sachets Hacendado,Mayonesa,1.25,False,,España,Salsa Rica S.L.,0.24,"Oils, spices & sauces",False,,False,True,0.02
35840,8410127050819,Mayonnaise Hellmann's,Mayonesa,3.25,False,,España,"Unilever España, S.A.",0.45,"Oils, spices & sauces",False,,False,False,
17052,8410127050482,Mayonnaise Hellmann's,MAYONESA,1.95,False,,España,Unilever,0.225,"Oils, spices & sauces",False,,False,False,
35839,8720182381804,Light mayonnaise Ligeresa,Salsa,2.65,False,,España,"Unilever España, S.A.",0.425,"Oils, spices & sauces",False,,False,False,
35838,8720182382214,Light mayonnaise Ligeresa,Salsa,1.55,False,,España,"Unilever España, S.A.",0.21,"Oils, spices & sauces",False,,False,False,
17039,8722700136224,Ligeresa light mayonnaise,Salsa,2.25,False,        2.65,España,Unilever España S.A.,0.43,"Oils, spices & sauces",False,,False,False,
17038,8410086311501,Mayonnaise Ybarra,Mayonesa,2.25,False,,,Empresa Alimentación YBARRA,0.5,"Oils, spices & sauces",False,,False,False,
17166,8431594003245,Mayonnaise Musa,Mayonesa,2.45,False,,,"Agroalimentaria MUSA, S.L.",0.54,"Oils, spices & sauces",False,,False,False,
15793,8480000157935,Light mayonnaise Hacendado,Mayonesa light,1.2,False,,España,Compre y Compare S.A.,0.5,"Oils, spices & sauces",False,,False,False,
15794,8480000157942,Light mayonnaise Hacendado,Mayonesa light,1.25,False,,España,Compre y Compare S.A.,0.46,"Oils, spices & sauces",False,,False,False,
23579,8480000235794,Ketchup Hacendado,Ketchup,1.25,False,        1.30,Producto de España,Conservas el Cidacos S.A.,0.6,"Oils, spices & sauces",False,,False,False,
67586,8480000675866,Ketchup in individual sachets Hacendado,Ketchup,1.4,False,,España,Conservas el Cidacos S.A.,0.24,"Oils, spices & sauces",False,,False,False,
35837,8410066136360,Ketchup Heinz,,3.5,False,,,,0.65,"Oils, spices & sauces",False,,False,False,
35343,8402001007033,Zero Ketchup with no added sugar Hacendado,Salsa de tomate sin azúcares añadidos,1.6,False,,España,Conservas el Cidacos S.A.,0.6,"Oils, spices & sauces",False,,False,False,
17229,8480000172297,Old style mustard Hacendado,Mostaza a la Antigua,1.7,False,,Francia,Develey Senf und Feinkost GmbH,0.2,"Oils, spices & sauces",False,,False,False,
17228,8480000172280,Dijon mustard Hacendado,Mostaza de Dijon,1.25,False,,Francia,Develey Senf und Feinkost GmbH,0.2,"Oils, spices & sauces",False,,False,False,
23410,8480000234100,Classic mustard Hacendado,,1.35,False,,,,0.388,"Oils, spices & sauces",False,,False,False,
17150,8410422005026,Aioli Chovi,Allioli,1.35,False,,,Chovi. S.L.,0.18,"Oils, spices & sauces",False,,False,False,
17172,8480000171726,Aioli Hacendado,Allioli,1.1,False,,,"Chovi, S.L.",0.2,"Oils, spices & sauces",False,,False,False,
17173,8480000171733,Aioli in individual sachets Hacendado,Allioli,1.5,False,,,"Chovi, S.L.",0.16,"Oils, spices & sauces",False,,False,False,
17132,8480000171320,Fried tomato Hacendado,Tomate Frito,1.4,False,,Producto de España,Conservas el Cidacos S.A.,1.2,"Oils, spices & sauces",False,,False,True,0.4
17151,8480000171511,Fried tomato Hacendado,Tomate Frito,1.0,False,,España,Conservas el Cidacos S.A.,0.63,"Oils, spices & sauces",False,,False,True,0.21
17108,8480000171085,Fried tomato Hacendado,Tomate Frito,0.85,False,,España,Conservas el Cidacos S.A.,0.56,"Oils, spices & sauces",False,,False,False,
17163,8480000171634,Traditional recipe fried tomato Hacendado,Tomate Frito Receta Artesana,2.4,False,,Producto de España,Conservas el Cidacos S.A.,0.56,"Oils, spices & sauces",False,,False,False,
17131,8480000171313,Traditional recipe fried tomato Hacendado,Tomate Frito Receta Artesana,1.65,False,,Producto de España,Conservas el Cidacos S.A.,0.3,"Oils, spices & sauces",False,,False,False,
17110,8424523030016,Fried tomato Hida,Tomate frito.,1.75,False,,,"Hida Alimentación, S.A.",0.4,"Oils, spices & sauces",False,,False,False,
17153,8480000171535,Home made style fried tomato Hacendado,Tomate frito estilo casero,1.3,False,,Producto de España,Conservas el Cidacos S.A.,0.38,"Oils, spices & sauces",False,,False,False,
17128,8480000171283,Fried tomato with olive oil Hacendado,Tomate Frito con aceite de oliva,1.4,False,,Producto de España,Conservas el Cidacos S.A.,0.63,"Oils, spices & sauces",False,,False,True,0.21
17330,8480000173300,Fried tomato no added sugar Hacendado,Tomate Frito Sin azúcares añadidos,1.1,False,,Producto de España,Conservas el Cidacos S.A.,0.56,"Oils, spices & sauces",False,,False,False,
17346,8480000173713,Barbecue sauce Hacendado,Salsa Barbacoa,1.15,False,,España,Conservas el Cidacos S.A.,0.35,"Oils, spices & sauces",False,,False,False,
17502,8480000175021,Green pepper sauce Hacendado,Salsa deshidratada de Pimienta Verde,1.25,False,,,"Interal, S.A.",0.05,"Oils, spices & sauces",False,,False,False,
17347,8480000173478,Burger sauce Hacendado,Salsa Burger,1.35,False,,Polonia,Develey Polska Sp. z o.o.,0.25,"Oils, spices & sauces",False,,False,False,
35780,8402001010040,Argentinian sauce for meat Hacendado,Salsa estilo argentino,1.5,False,,Producto de España,Conservas el Cidacos S.A.,0.3,"Oils, spices & sauces",False,,False,False,
17396,8480000173966,Piri Piri sauce Hacendado,Salsa de Piri-piri,1.0,False,,,CALIMENTA AGRO-INDUSTRIA S.A,0.195,"Oils, spices & sauces",False,,False,False,
35412,8402001007750,Spicy Tikka Masala curry sauce Hacendado,,2.0,False,,,,0.18,"Oils, spices & sauces",False,,False,False,
35438,8402001009051,Pesto sauce with basil Hacendado,SALSA PESTO TEMPERATURA AMBIENTE,2.1,False,,,ANDREA RAVARINO,0.19,"Oils, spices & sauces",False,,False,False,
35545,8402001008139,Bolognese sauce Hacendado,Salsa Boloñesa,1.55,False,,España,Conservas el Cidacos S.A.,0.29,"Oils, spices & sauces",False,,False,False,
35546,8402001008160,Basil tomato sauce Hacendado,Salsa de Tomate con Albahaca,1.4,False,,España,Conservas el Cidacos S.A.,0.29,"Oils, spices & sauces",False,,False,False,
