id,language,ean,name,slug,legal_name,unit_price,bulk_price,is_discounted,previous_price,iva,age_check,alcohol_by_volume,is_new,is_pack,pack_size,description,minimum_amount,weight,brand,origin,supplier,category,warehouses,date
67409,es,80177173,Crema al cacao con avellanas Nutella,crema-cacao-con-avellanas-nutella-tarro,Crema untable de avellanas y cacao.,3.69,10.54,False,,10,False,,False,False,,Crema al cacao con avellanas Nutella,1,0.35,Nutella,,"Ferrero Ibérica, S.A.",Chocolate,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
67163,es,8410014477743,Crema al cacao con avellanas Nocilla original,crema-cacao-con-avellanas-nocilla-original-tarro,Crema al cacao con avellanas,3.65,10.14,False,,10,False,,False,False,,Crema al cacao con avellanas Nocilla original,1,0.36,Nocilla,España,"IDILIA FOODS, S.L.",Chocolate,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
10286,es,3383670010096,Dulce de leche Chimbote,dulce-leche-chimbote-tarro,Dulce de Leche,2.71,6.3,False,,10,False,,False,False,,Dulce de leche Chimbote,1,0.43,Chimbote,Sains Richaumont - Francia,"La Franco Argentine, S.A.",Chocolate,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
67417,es,8480000674173,Crema al cacao con avellanas Hacendado de 2 sabores,crema-cacao-con-avellanas-hacendado-2-sabores-bote,Crema de cacao y avellanas,1.95,3.9,False,,10,False,,False,False,,Crema al cacao con avellanas Hacendado de 2 sabores,1,0.5,Hacendado,Bélgica,Natra,Chocolate,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
67164,es,8410014477750,Crema al cacao y leche con avellanas Nocilla,crema-cacao-leche-con-avellanas-nocilla-tarro,Doble crema al cacao y leche con avellanas,3.65,10.14,False,,10,False,,False,False,,Crema al cacao y leche con avellanas Nocilla,1,0.36,Nocilla,España,"IDILIA FOODS, S.L.",Chocolate,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
22836,es,8480000228369,Crema de cacahuete 100% Crunchy Hacendado,crema-cacahuete-100-crunchy-hacendado-tarro,Crema de Cacahuete cremoso con trozos,2.95,5.9,False,,10,False,,False,False,,Crema de cacahuete 100% Crunchy Hacendado,1,0.5,Hacendado,,Bredabest B.V.,Chocolate,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
16883,es,8480000168832,Crema de cacahuete 100% Hacendado,crema-cacahuete-100-hacendado-tarro,Crema de cacahuete cremosa,2.95,5.9,False,,10,False,,False,False,,Crema de cacahuete 100% Hacendado,1,0.5,Hacendado,,Bredabest B.V.,Chocolate,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
65008,es,8480000650085,Golosinas Xuxes Top Ten Hacendado,golosinas-xuxes-top-ten-hacendado-paquete,Surtido de caramelos y golosinas.,1.25,9.26,False,,10,False,,False,False,,Golosinas Xuxes Top Ten Hacendado,1,0.135,Hacendado,,"Chic-kles Gum, S.L.U.",Golosinas,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
65077,es,8480000650771,Golosinas Moras Hacendado,golosinas-moras-hacendado-paquete,Caramelos de goma,1.1,5.5,False,,10,False,,False,False,,Golosinas Moras Hacendado,1,0.2,Hacendado,,Productos Damel S.L.,Golosinas,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
67814,es,8480000678140,Golosinas Fruit Mix Hacendado,golosinas-fruit-mix-hacendado-paquete,,1.1,4.4,False,,10,False,,False,False,,Golosinas Fruit Mix Hacendado,1,0.25,Hacendado,,,Golosinas,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
65088,es,8480000650887,Golosinas Nubi Mallow Hacendado,golosinas-nubi-mallow-hacendado-paquete,Espumas dulces sabor vainilla,0.95,6.33,False,,10,False,,False,False,,Golosinas Nubi Mallow Hacendado,1,0.15,Hacendado,España,"CANTALOU, S.A.",Golosinas,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
65017,es,8410235310294,Caramelo Pikotas masticable Dulciora,caramelo-pikotas-masticable-dulciora-paquete,DULCIORA PIKOTAS CHERRY,1.45,14.5,False,,10,False,,False,False,,Caramelo Pikotas masticable Dulciora,1,0.1,Dulciora,España,Carambar & Co,Golosinas,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
65064,es,8480000650641,Golosinas tubos de fresa Hacendado rellenos,golosinas-tubos-fresa-hacendado-rellenos-caja,Geles Dulces,1.75,5.47,False,,10,False,,False,False,,Golosinas tubos de fresa Hacendado rellenos,1,0.32,Hacendado,,"VIDAL GOLOSINAS, S.A",Golosinas,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
65070,es,8480000650702,Golosinas Boca Fruit Hacendado,golosinas-boca-fruit-hacendado-envueltas-individualmente-paquete,Caramelo de goma,1.2,6.0,False,,10,False,,False,False,,Golosinas Boca Fruit Hacendado envueltas individualmente,1,0.2,Hacendado,,Jake,Golosinas,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
65158,es,8480000651587,Grageas de regaliz Hacendado,grageas-regaliz-hacendado-paquete,DULCES DE REGALIZ GRAGEADOS SIN GLUTEN.,1.45,9.67,False,,10,False,,False,False,,Grageas de regaliz Hacendado,1,0.15,Hacendado,España,"KING REGAL, S. A.",Golosinas,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
52437,es,8402001012549,Golosinas Pulpis Mix con pica Hacendado,golosinas-pulpis-mix-con-pica-hacendado-paquete,,1.6,5.33,False,,10,False,,False,False,,Golosinas Pulpis Mix con pica Hacendado,1,0.3,Hacendado,,,Golosinas,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
65059,es,8480000650597,Surtido de caramelos Diver Xuxes Hacendado,surtido-caramelos-diver-xuxes-hacendado-envueltos-individualmente-paquete,Surtido de Caramelos,2.15,7.17,False,,10,False,,False,False,,Surtido de caramelos Diver Xuxes Hacendado envueltos individualmente,1,0.3,Hacendado,,"Chic-kles Gum, S.L.U.",Golosinas,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
65055,es,8480000650559,Golosinas Rega Relli Hacendado rellena con zumo de fruta,golosinas-rega-relli-hacendado-rellena-con-zumo-fruta-paquete,"GELES DULCES, SABOR FRESA.",1.0,6.67,False,,10,False,,False,False,,Golosinas Rega Relli Hacendado rellena con zumo de fruta,1,0.15,Hacendado,España,"KING REGAL, S. A.",Golosinas,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
23528,es,8480000235282,Golosinas Dentaduras Hacendado,golosinas-dentaduras-hacendado-paquete,Caramelo de goma,1.15,11.5,False,,10,False,,False,False,,Golosinas Dentaduras Hacendado,1,0.1,Hacendado,,"VIDAL GOLOSINAS, S.A.",Golosinas,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
86288,es,8480000862884,Golosinas Mix Hacendado,golosinas-mix-hacendado-paquete,Caramelo de goma,1.6,5.33,False,,10,False,,False,False,,Golosinas Mix Hacendado,1,0.3,Hacendado,España,"VIDAL GOLOSINAS, S.A.",Golosinas,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
