id,ean,name,legal_name,unit_price,is_discounted,previous_price,origin,supplier,weight,category,age_check,alcohol_by_volume,is_new,is_pack,pack_size
13610,8480000136107,Licor mora sin alcohol Pi.omka,MORA BEB.REFRESCANTE PIOMKA 0'7,2.8,False,,España,Alfonso Rivillas S.L.,0.7,Bodega,True,,False,False,
66462,8480000867018,Cerveza Clásica Steinburg,CERVEZA,3.72,False,,España,Brouwerij Martens,3.96,Bodega,True,4.8,False,True,0.33
66463,8480000867025,Cerveza Clásica Steinburg,CERVEZA,0.31,False,,España,Brouwerij Martens,0.33,Bodega,True,4.8,False,False,
27338,8712000011079,Cerveza Heineken,Cerveza,8.28,False,,,Heineken España S.A.,3.96,Bodega,True,5.0,False,True,0.33
27100,87120158,Cerveza Heineken,Cerveza,0.82,False,,España,Heineken España S.A.,0.33,Bodega,True,5.0,False,False,
66031,8411327122122,Cerveza especial Mahou,Cerveza especial,9.96,False,,España,"MAHOU, S.A.",3.96,Bodega,True,5.5,False,True,0.33
27136,8411327122016,Cerveza especial Mahou,Cerveza especial,0.85,False,,España,"MAHOU, S.A.",0.33,Bodega,True,5.5,False,False,
66027,8411327022125,Cerveza clásica Mahou,CERVEZA,8.64,False,,España,"MAHOU, S.A.",3.96,Bodega,True,4.8,False,True,0.33
27178,8411327022019,Cerveza clásica Mahou,CERVEZA,0.75,False,,España,"MAHOU, S.A.",0.33,Bodega,True,4.8,False,False,
28057,8410793037336,Cerveza doble malta Voll-Damm,,5.58,False,,,DAMM S.A.,1.98,Bodega,True,,False,True,0.33
27137,8410793036131,Cerveza doble malta Voll-Damm,Cerveza Extra,0.99,False,,EU,DAMM S.A.,0.33,Bodega,True,7.2,False,False,
66485,8480000664853,Cerveza Suave Steinburg,CERVEZA,3.48,False,,Francia,Brasserie de Saint-Omer,3.96,Bodega,True,5.0,False,True,0.33
66486,8480000664860,Cerveza Suave Steinburg,CERVEZA,0.29,False,,España,FONT SALEM SL,0.33,Bodega,True,4.8,False,False,
66026,8410655000874,Cerveza especial San Miguel,CERVEZA ESPECIAL,6.0,False,,España,"MAHOU, S.A.",3.96,Bodega,True,5.4,False,True,0.33
27103,8410655000010,Cerveza especial San Miguel,CERVEZA ESPECIAL,0.72,False,,España,"MAHOU, S.A.",0.33,Bodega,True,5.4,False,False,
66764,8480000667649,Cerveza Especial Steinburg,CERVEZA,4.44,False,,España,BIRC. SPA,3.96,Bodega,True,5.9,False,True,0.33
66765,8480000667656,Cerveza Especial Steinburg,CERVEZA,0.37,False,,España,BIRC. SPA,0.33,Bodega,True,5.9,False,False,
66469,4008287917925,Cerveza Pils Krombacher,Cerveza,3.6,False,,Alemania,Krombacher Brauerei Bernhard Schadeberg GMBH&Co. KG,1.98,Bodega,True,4.8,False,True,0.33
