id,warehouse,language,ean,name,slug,legal_name,unit_price,bulk_price,is_discounted,previous_price,iva,age_check,alcohol_by_volume,is_new,is_pack,pack_size,description,minimum_amount,weight,brand,origin,supplier,category
19713,mad1,es,8480000197139,Sal 60% menos de sodio Hacendado,sal-60-menos-sodio-hacendado-bote,"Sal de contenido reducido en sodio, con 60% menos que la sal común",2.3,9.2,False,,10,False,,False,False,,Sal 60% menos de sodio Hacendado,1,0.25,Hacendado,España,"JESÚS NAVARRO, S.A.","Aceite, vinagre y sal"
19726,mad1,es,8480000197269,Preparado para salmón ahumado Hacendado,preparado-salmon-ahumado-hacendado-bote,Preparado para salmón ahumado.,3.3,4.4,False,,10,False,,False,False,,Preparado para salmón ahumado Hacendado,1,0.75,Hacendado,España,"JESÚS NAVARRO, S.A.","Aceite, vinagre y sal"
19701,mad1,es,8480000197016,Sal rosa del Himalaya Hacendado,sal-rosa-himalaya-hacendado-bote,Sal rosa Himalaya,1.9,7.6,False,,10,False,,False,False,,Sal rosa del Himalaya Hacendado,1,0.25,Hacendado,Pakistán,"Envasado por Wassy Himalaya, S.L","Aceite, vinagre y sal"
5598,mad1,es,8480000055989,Orégano Hacendado,oregano-hacendado-bote,,0.95,38.0,False,,10,False,,False,False,,Orégano Hacendado,1,0.025,Hacendado,,,Especias
5599,mad1,es,8480000055996,Perejil Hacendado,perejil-hacendado-bote,Perejil,0.9,50.0,False,,10,False,,False,False,,Perejil Hacendado,1,0.018,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
47994,mad1,es,8480000479945,Hoja de laurel Hacendado,hoja-laurel-hacendado-paquete,Hojas de Laurel,0.8,66.67,False,,10,False,,False,False,,Hoja de laurel Hacendado,1,0.012,Hacendado,Turquía,SAFE SPICE GIDA STRERILIZASYON SAN. VE DIS TIC. A.S.,Especias
34131,mad1,es,8480000341310,Hierbas provenzales Hacendado,hierbas-provenzales-hacendado-bote,Hierbas provenzales,1.2,48.0,False,,10,False,,False,False,,Hierbas provenzales Hacendado,1,0.025,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
34128,mad1,es,8480000341280,Albahaca Hacendado,albahaca-hacendado-bote,Albahaca,1.25,62.5,False,,10,False,,False,False,,Albahaca Hacendado,1,0.02,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
34175,mad1,es,8480000341754,Romero Hacendado,romero-hacendado-bote,Romero,1.35,33.75,False,,10,False,,False,False,,Romero Hacendado,1,0.04,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
5547,mad1,es,8480000055477,Tomillo Hacendado,tomillo-hacendado-bote,Tomillo,1.05,43.75,False,,10,False,,False,False,,Tomillo Hacendado,1,0.024,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
52739,mad1,es,8402001015106,Eneldo Hacendado,eneldo-hacendado-bote,,1.85,102.78,False,,10,False,,False,False,,Eneldo Hacendado,1,0.018,Hacendado,,,Especias
34721,mad1,es,8480000347213,Cilantro Hacendado,cilantro-hacendado-bote,Cilantro,1.85,154.17,False,,10,False,,False,False,,Cilantro Hacendado,1,0.012,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
60873,mad1,es,8480000608734,Ajo y Perejil Hacendado,ajo-perejil-hacendado-bote,Sazonador Ajo Perejil,1.35,18.24,False,,10,False,,False,False,,Ajo y Perejil Hacendado,1,0.074,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
34182,mad1,es,8480000341822,Colorante alimentario Hacendado,colorante-alimentario-hacendado-bote,Colorante alimentario,0.9,10.59,False,,10,False,,False,False,,Colorante alimentario Hacendado,1,0.085,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
34184,mad1,es,8480000341846,Pimentón dulce Hacendado,pimenton-dulce-hacendado-bote,Pimentón dulce,1.0,17.86,False,,10,False,,False,False,,Pimentón dulce Hacendado,1,0.056,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
34186,mad1,es,8480000341860,Pimentón dulce Hacendado,pimenton-dulce-hacendado-bote,Pimentón dulce,1.4,18.67,False,,10,False,,False,False,,Pimentón dulce Hacendado,1,0.075,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
34102,mad1,es,8480000341020,Pimentón dulce de la Vera Hacendado,pimenton-dulce-vera-hacendado-bote,"Pimentón Dulce Ahumado Denominación de Origen Protegida ""Pimentón de la Vera""",1.75,23.33,False,,10,False,,False,False,,Pimentón dulce de la Vera Hacendado,1,0.075,Hacendado,Denominación de origen Pimentón de la Vera,"Orencio Hoyo, S.L",Especias
34116,mad1,es,8480000341167,Azafrán molido Hacendado,azafran-molido-hacendado-paquete,Azafrán molido,1.75,4375.0,False,,10,False,,False,False,,Azafrán molido Hacendado,1,0.0004,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
34115,mad1,es,8480000341150,Azafrán hebra Hacendado,azafran-hebra-hacendado-paquete,Azafrán hebra,1.7,4594.59,False,,10,False,,False,False,,Azafrán hebra Hacendado,1,0.000375,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
34183,mad1,es,8480000341839,Pimentón picante Hacendado,pimenton-picante-hacendado-bote,Pimentón picante,1.35,22.5,False,,10,False,,False,False,,Pimentón picante Hacendado,1,0.06,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
34171,mad1,es,8480000341716,Pimienta negra molida Hacendado,pimienta-negra-molida-hacendado-bote,Pimienta negra molida,1.05,15.0,False,,10,False,,False,False,,Pimienta negra molida Hacendado,1,0.07,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
67693,mad1,es,8480000676931,Molinillo pimienta negra Hacendado,molinillo-pimienta-negra-hacendado-bote,Molinillo pimienta negra,1.65,25.38,False,,10,False,,False,False,,Molinillo pimienta negra Hacendado,1,0.065,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
34172,mad1,es,8480000341723,Pimienta negra en grano Hacendado,pimienta-negra-grano-hacendado-bote,Pimienta negra en grano,1.45,20.71,False,,10,False,,False,False,,Pimienta negra en grano Hacendado,1,0.07,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
67694,mad1,es,8480000676948,Molinillo mix pimientas Hacendado,molinillo-mix-pimientas-hacendado-bote,Molinillo mix de pimientas,1.85,37.0,False,,10,False,,False,False,,Molinillo mix pimientas Hacendado,1,0.05,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
34170,mad1,es,8480000341709,Pimienta blanca molida Hacendado,pimienta-blanca-molida-hacendado-bote,Pimienta blanca molida,2.15,30.71,False,,10,False,,False,False,,Pimienta blanca molida Hacendado,1,0.07,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
86656,mad1,es,8480000866561,Ajo granulado Hacendado,ajo-granulado-hacendado-bote,Ajo,1.1,9.57,False,,0,False,,False,False,,Ajo granulado Hacendado,1,0.115,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
34208,mad1,es,8718781824402,Cebolla frita crujiente Hacendado,cebolla-frita-crujiente-hacendado-bote,Cebolla frita crujiente,1.15,7.67,False,,10,False,,False,False,,Cebolla frita crujiente Hacendado,1,0.15,Hacendado,,"Koyasan Foods Comercial, SL.",Especias
34177,mad1,es,8480000341778,Canela molida Hacendado,canela-molida-hacendado-bote,Canela molida,0.95,18.27,False,,10,False,,False,False,,Canela molida Hacendado,1,0.052,Hacendado,Origen: Ceylan e Indonesia.,"JESÚS NAVARRO, S.A.",Especias
52880,mad1,es,8402001017193,Canela en rama Hacendado,canela-rama-hacendado-bote,,1.45,76.32,False,,10,False,,False,False,,Canela en rama Hacendado,1,0.019,Hacendado,,,Especias
34120,mad1,es,8480000341204,Comino molido Hacendado,comino-molido-hacendado-bote,Comino molido,1.2,20.69,False,,10,False,,False,False,,Comino molido Hacendado,1,0.058,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
34121,mad1,es,8480000341211,Comino en grano Hacendado,comino-grano-hacendado-bote,Comino en grano,1.95,34.82,False,,10,False,,False,False,,Comino en grano Hacendado,1,0.056,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
34125,mad1,es,8480000341259,Curry Hacendado,curry-hacendado-bote,Curry,1.15,20.18,False,,10,False,,False,False,,Curry Hacendado,1,0.057,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
